snippet,key_factor,version,prompt,tests_passed,tests_failed,tests_errors,man_tests_passed,man_tests_failed,man_tests_errors,Note
ActivitySelection,KF0,v0,nop,3,0,0,,,,
ActivitySelection,KF0,v1,pKF0,3,0,0,,,,
ActivitySelection,KF0,v1,pKF1,3,0,0,,,,
ActivitySelection,KF0,v1,pKF2,3,0,0,,,,
ActivitySelection,KF0,v2,pKF0,3,0,0,,,,
ActivitySelection,KF0,v2,pKF1,3,0,0,,,,
ActivitySelection,KF0,v2,pKF2,3,0,0,,,,
ActivitySelection,KF0,v3,pKF0,3,0,0,,,,
ActivitySelection,KF0,v3,pKF1,3,0,0,,,,
ActivitySelection,KF0,v3,pKF2,3,0,0,,,,
ActivitySelection,KF0,v4,pKF0,3,0,0,,,,
ActivitySelection,KF0,v4,pKF1,3,0,0,,,,
ActivitySelection,KF0,v4,pKF2,3,0,0,,,,
ActivitySelection,KF0,v5,pKF0,3,0,0,,,,
ActivitySelection,KF0,v5,pKF1,3,0,0,,,,
ActivitySelection,KF0,v5,pKF2,3,0,0,,,,
ActivitySelection,KF1,v0,nop,3,0,0,,,,
ActivitySelection,KF1,v1,pKF0,3,0,0,,,,
ActivitySelection,KF1,v1,pKF1,3,0,0,,,,
ActivitySelection,KF1,v1,pKF2,3,0,0,,,,
ActivitySelection,KF1,v2,pKF0,3,0,0,,,,
ActivitySelection,KF1,v2,pKF1,3,0,0,,,,
ActivitySelection,KF1,v2,pKF2,3,0,0,,,,
ActivitySelection,KF1,v3,pKF0,3,0,0,,,,
ActivitySelection,KF1,v3,pKF1,3,0,0,,,,
ActivitySelection,KF1,v3,pKF2,3,0,0,,,,
ActivitySelection,KF1,v4,pKF0,3,0,0,,,,
ActivitySelection,KF1,v4,pKF1,3,0,0,,,,
ActivitySelection,KF1,v4,pKF2,3,0,0,,,,
ActivitySelection,KF1,v5,pKF0,3,0,0,,,,
ActivitySelection,KF1,v5,pKF1,3,0,0,,,,
ActivitySelection,KF1,v5,pKF2,3,0,0,,,,
ActivitySelection,KF2,v0,nop,3,0,0,,,,
ActivitySelection,KF2,v1,pKF0,3,0,0,,,,
ActivitySelection,KF2,v1,pKF1,3,0,0,,,,
ActivitySelection,KF2,v1,pKF2,3,0,0,,,,
ActivitySelection,KF2,v2,pKF0,3,0,0,,,,
ActivitySelection,KF2,v2,pKF1,3,0,0,,,,
ActivitySelection,KF2,v2,pKF2,3,0,0,,,,
ActivitySelection,KF2,v3,pKF0,3,0,0,,,,
ActivitySelection,KF2,v3,pKF1,3,0,0,,,,
ActivitySelection,KF2,v3,pKF2,3,0,0,,,,
ActivitySelection,KF2,v4,pKF0,3,0,0,,,,
ActivitySelection,KF2,v4,pKF1,3,0,0,,,,
ActivitySelection,KF2,v4,pKF2,3,0,0,,,,
ActivitySelection,KF2,v5,pKF0,3,0,0,,,,
ActivitySelection,KF2,v5,pKF1,3,0,0,,,,
ActivitySelection,KF2,v5,pKF2,3,0,0,,,,
ADFGVXCipher,KF0,v0,nop,4,0,0,,,,
ADFGVXCipher,KF0,v1,pKF0,4,0,0,,,,
ADFGVXCipher,KF0,v1,pKF1,4,0,0,,,,
ADFGVXCipher,KF0,v1,pKF2,4,0,0,,,,
ADFGVXCipher,KF0,v2,pKF0,4,0,0,,,,
ADFGVXCipher,KF0,v2,pKF1,4,0,0,,,,
ADFGVXCipher,KF0,v2,pKF2,3,0,1,,,,
ADFGVXCipher,KF0,v3,pKF0,4,0,0,,,,
ADFGVXCipher,KF0,v3,pKF1,4,0,0,,,,
ADFGVXCipher,KF0,v3,pKF2,3,0,1,,,,
ADFGVXCipher,KF0,v4,pKF0,4,0,0,,,,
ADFGVXCipher,KF0,v4,pKF1,4,0,0,,,,
ADFGVXCipher,KF0,v4,pKF2,3,0,1,,,,
ADFGVXCipher,KF0,v5,pKF0,4,0,0,,,,
ADFGVXCipher,KF0,v5,pKF1,4,0,0,,,,
ADFGVXCipher,KF0,v5,pKF2,3,0,1,,,,
ADFGVXCipher,KF1,v0,nop,4,0,0,,,,
ADFGVXCipher,KF1,v1,pKF0,4,0,0,,,,
ADFGVXCipher,KF1,v1,pKF1,4,0,0,,,,
ADFGVXCipher,KF1,v1,pKF2,4,0,0,,,,
ADFGVXCipher,KF1,v2,pKF0,3,0,1,,,,
ADFGVXCipher,KF1,v2,pKF1,4,0,0,,,,
ADFGVXCipher,KF1,v2,pKF2,4,0,0,,,,
ADFGVXCipher,KF1,v3,pKF0,3,0,1,,,,
ADFGVXCipher,KF1,v3,pKF1,4,0,0,,,,
ADFGVXCipher,KF1,v3,pKF2,4,0,0,,,,
ADFGVXCipher,KF1,v4,pKF0,3,0,1,,,,
ADFGVXCipher,KF1,v4,pKF1,4,0,0,,,,
ADFGVXCipher,KF1,v4,pKF2,4,0,0,,,,
ADFGVXCipher,KF1,v5,pKF0,3,0,1,,,,
